rounds,time
34,0.53
33,1.17
32,0.67
31,1.08
30,1.49
29,0.70
28,1.06
27,0.30
26,0.37
25,0.22
24,0.26
23,0.80
22,0.38
21,0.36
20,0.22
19,0.46
18,0.22
17,0.47
16,0.30
15,0.32
14,0.30
13,0.50
12,0.15
11,0.20
10,0.11
9,0.28
8,0.30
7,0.07
6,0.08
5,0.07
4,0.05
3,0.06
2,0.05
1,0.05
0,0.05
80,14.92
79,2.10
78,5.77
77,6.72
76,13.60
75,14.37
74,10.89
73,6.14
72,3.41
71,6.51
70,2.07
69,3.28
68,7.44
67,5.29
66,1.50
65,0.74
64,3.92
63,1.62
62,1.53
61,4.24
60,1.85
59,1.16
58,2.26
57,1.56
56,0.91
55,0.66
54,1.30
53,0.68
52,5.24
51,3.21
50,1.42
49,0.81
48,1.88
47,0.53
46,0.86
45,5.24
44,0.48
43,0.75
42,1.18
41,1.46
40,0.90
39,0.36
38,1.31
37,2.00
36,0.81
35,0.89
34,0.73
33,0.39
32,1.20
31,0.30
30,0.33
29,1.86
28,0.62
27,0.90
26,0.48
25,1.14
24,0.25
23,0.23
22,0.70
21,0.47
20,0.29
19,0.18
18,0.19
17,0.56
16,0.30
15,0.24
14,0.36
13,0.34
12,0.20
11,0.20
10,0.12
9,0.14
8,0.24
7,0.14
6,0.09
5,0.06
4,0.06
3,0.06
2,0.05
1,0.05
0,0.05
80,4.15
79,3.57
78,3.70
77,1.00
76,6.86
75,10.48
74,5.90
73,3.64
72,2.41
71,3.81
70,1.92
69,5.08
68,5.40
67,1.97
66,2.43
65,3.66
64,2.68
63,2.32
62,2.52
61,1.25
60,6.95
59,2.21
58,6.98
57,1.71
56,2.75
55,2.38
54,5.16
53,8.88
52,0.70
51,2.06
50,1.12
49,1.98
48,1.82
47,1.34
46,1.66
45,0.90
44,1.68
43,0.59
42,1.12
41,1.38
40,0.69
39,0.53
38,0.77
37,0.85
36,1.00
35,0.40
34,0.64
33,0.85
32,0.50
31,0.58
30,1.81
29,1.56
28,0.52
27,0.57
26,2.45
25,0.61
24,0.26
23,0.41
22,0.64
21,0.25
20,0.40
19,0.25
18,0.22
17,0.90
16,0.27
15,0.42
14,0.64
13,0.30
12,0.49
11,0.26
10,0.17
9,0.15
8,0.18
7,0.08
6,0.12
5,0.07
4,0.06
3,0.06
2,0.06
1,0.05
0,0.05
80,2.88
79,7.78
78,3.96
77,3.98
76,5.14
75,1.13
74,3.34
73,4.55
72,4.41
71,2.78
70,1.49
69,2.86
68,1.23
67,1.04
66,2.87
65,7.13
64,2.25
63,1.29
62,1.68
61,1.10
60,2.72
59,1.00
58,2.08
57,3.10
56,2.43
55,1.08
54,1.83
53,7.74
52,1.64
51,1.11
50,0.97
49,0.86
48,4.36
47,1.27
46,0.67
45,1.69
44,8.24
43,3.33
42,2.54
41,0.93
40,0.37
39,1.44
38,0.61
37,1.17
36,0.54
35,1.23
34,0.83
33,0.30
32,0.53
31,0.84
30,0.37
29,0.66
28,0.31
27,0.29
26,0.94
25,1.53
24,0.25
23,0.23
22,0.42
21,0.43
20,0.38
19,0.32
18,0.74
17,0.22
16,0.71
15,0.72
14,0.31
13,0.34
12,0.44
11,0.16
10,0.40
9,0.13
8,0.16
7,0.14
6,0.10
5,0.08
4,0.06
3,0.05
2,0.05
1,0.05
0,0.04
80,2.31
79,4.55
78,2.04
77,8.93
76,1.11
75,2.40
74,12.69
73,2.45
72,5.68
71,1.93
70,1.67
69,3.70
68,4.81
67,2.77
66,1.25
65,2.32
64,1.96
63,1.29
62,13.40
61,1.30
60,4.87
59,4.26
58,1.22
57,1.41
56,6.71
55,2.44
54,1.08
53,2.62
52,4.29
51,3.49
50,1.69
49,2.41
48,1.39
47,5.44
46,2.34
45,1.56
44,0.86
43,1.34
42,0.40
41,0.48
40,1.47
39,0.73
38,1.18
37,0.43
36,3.03
35,0.30
34,0.40
33,0.42
32,0.66
31,0.98
30,1.38
29,0.61
28,1.08
27,1.63
26,0.44
25,0.40
24,1.80
23,0.32
22,1.12
21,0.57
20,0.22
19,0.26
18,0.68
17,0.59
16,1.05
15,0.53
14,0.23
13,0.48
12,0.22
11,0.44
10,0.84
9,0.12
8,0.19
7,0.12
6,0.14
5,0.06
4,0.06
3,0.06
2,0.05
1,0.05
0,0.05
80,3.32
79,1.44
78,2.19
77,7.97
76,7.37
75,2.75
74,4.18
73,1.28
72,5.84
71,5.29
70,4.54
69,2.25
68,4.97
67,5.36
66,3.54
65,0.98
64,8.04
63,3.20
62,3.14
61,2.54
60,0.66
59,0.82
58,2.32
57,1.78
56,2.41
55,2.84
54,4.62
53,0.80
52,0.63
51,2.83
50,4.82
49,1.80
48,1.62
47,0.68
46,1.18
45,0.43
44,0.45
43,5.20
42,1.57
41,0.65
40,0.53
39,0.86
38,0.89
37,1.74
36,1.88
35,1.71
34,0.76
33,0.96
32,0.69
31,0.74
30,0.76
29,0.57
28,0.62
27,0.34
26,0.49
25,0.59
24,0.56
23,0.37
22,1.09
21,0.19
20,0.52
19,0.70
18,0.84
17,0.16
16,0.18
15,0.51
14,0.30
13,0.22
12,0.10
11,0.13
10,0.18
9,0.21
8,0.11
7,0.19
6,0.07
5,0.06
4,0.06
3,0.06
2,0.05
1,0.05
0,0.05
80,1.66
79,2.58
78,3.15
77,1.10
76,1.84
75,15.28
74,5.38
73,4.64
72,1.90
71,6.00
70,10.97
69,3.30
68,6.10
67,3.10
66,14.45
65,1.48
64,0.84
63,2.23
62,4.32
61,0.97
60,5.05
59,9.24
58,2.21
57,3.90
56,7.41
55,1.07
54,3.03
53,2.51
52,1.15
51,3.38
50,5.14
49,3.18
48,1.50
47,2.80
46,2.33
45,4.05
44,0.54
43,4.24
42,0.77
41,2.12
40,1.89
39,0.83
38,0.55
37,1.20
36,2.56
35,0.35
34,1.22
33,2.82
32,1.19
31,1.33
30,0.73
29,1.00
28,0.66
27,0.43
26,1.24
25,0.40
24,0.34
23,0.31
22,0.22
21,0.47
20,0.22
19,0.45
18,0.58
17,0.18
16,0.53
15,0.52
14,0.31
13,0.18
12,0.25
11,0.10
10,0.28
9,0.08
8,0.12
7,0.43
6,0.10
5,0.08
4,0.06
3,0.05
2,0.05
1,0.05
0,0.04
80,5.69
79,1.59
78,5.62
77,4.28
76,2.21
75,1.06
74,3.83
73,5.23
72,1.38
71,2.28
70,1.86
69,20.34
68,1.24
67,3.57
66,1.65
65,3.36
64,3.55
63,4.29
62,8.55
61,2.14
60,5.76
59,5.35
58,4.04
57,1.26
56,1.12
55,2.14
54,1.58
53,2.00
52,2.51
51,1.35
50,2.47
49,0.46
48,0.74
47,4.07
46,3.28
45,4.17
44,0.64
43,1.35
42,2.50
41,1.52
40,0.46
39,0.58
38,0.68
37,1.54
36,1.87
35,1.33
34,0.40
33,0.92
32,0.86
31,1.50
30,0.70
29,1.03
28,1.48
27,0.75
26,0.56
25,1.55
24,0.32
23,0.32
22,1.26
21,0.23
20,0.18
19,0.38
18,0.15
17,0.23
16,0.31
15,0.58
14,1.80
13,0.27
12,0.14
11,0.23
10,0.18
9,0.10
8,0.19
7,0.20
6,0.12
5,0.06
4,0.06
3,0.04
2,0.05
1,0.05
0,0.05
80,3.17
79,1.20
78,2.66
77,14.19
76,1.53
75,7.60
74,4.35
73,5.92
72,1.35
71,5.84
70,4.46
69,2.54
68,12.90
67,1.10
66,2.65
65,6.31
64,4.95
63,4.90
62,6.58
61,2.02
60,2.16
59,2.30
58,1.45
57,2.30
56,2.96
55,3.53
54,4.56
53,0.66
52,3.02
51,5.22
50,3.44
49,1.86
48,0.97
47,1.03
46,0.48
45,1.70
44,3.88
43,1.21
42,1.48
41,1.01
40,0.47
39,2.14
38,2.14
37,1.23
36,0.48
35,0.51
34,1.44
33,1.58
32,0.46
31,0.62
30,0.54
29,1.77
28,0.69
27,1.85
26,0.31
25,0.62
24,0.22
23,0.58
22,0.73
21,0.21
20,0.55
19,0.72
18,0.54
17,0.49
16,0.79
15,1.02
14,0.45
13,0.32
12,0.61
11,0.09
10,0.35
9,0.40
8,0.14
7,0.07
6,0.13
5,0.07
4,0.06
3,0.06
2,0.05
1,0.05
0,0.05
80,10.22
79,4.71
78,5.88
77,8.21
76,6.31
75,4.28
74,2.64
73,7.68
72,11.24
71,1.81
70,3.21
69,2.76
68,3.18
67,1.08
66,4.75
65,12.18
64,10.05
63,5.21
62,5.42
61,3.96
60,1.74
59,2.18
58,3.12
57,10.71
56,3.06
55,3.68
54,1.20
53,6.09
52,4.08
51,2.61
50,0.66
49,2.78
48,0.78
47,2.55
46,1.04
45,0.94
44,1.30
43,1.39
42,1.68
41,0.43
40,0.83
39,0.46
38,0.53
37,0.70
36,1.03
35,0.63
34,0.45
33,0.44
32,1.01
31,0.53
30,0.85
29,0.28
28,0.31
27,0.38
26,0.36
25,0.42
24,0.28
23,0.37
22,0.33
21,0.29
20,0.18
19,0.84
18,0.18
17,0.18
16,0.20
15,0.18
14,0.53
13,0.34
12,0.09
11,0.40
10,0.30
9,0.25
8,0.32
7,0.14
6,0.11
5,0.07
4,0.05
3,0.04
2,0.06
1,0.04
0,0.05
80,2.54
79,9.93
78,11.26
77,5.78
76,3.66
75,2.52
74,1.78
73,3.23
72,0.91
71,5.10
70,2.79
69,5.27
68,7.46
67,3.14
66,5.12
65,1.19
64,9.98
63,2.47
62,3.22
61,1.51
60,1.70
59,0.89
58,2.36
57,6.96
56,7.28
55,2.49
54,1.20
53,1.52
52,5.21
51,0.95
50,0.82
49,1.79
48,0.51
47,1.70
46,2.76
45,1.54
44,0.50
43,3.74
42,1.89
41,5.81
40,0.82
39,1.58
38,0.46
37,3.60
36,1.36
35,0.70
34,0.38
33,0.66
32,1.26
31,0.60
30,0.43
29,0.50
28,0.68
27,0.30
26,0.62
25,0.26
24,1.03
23,0.58
22,0.63
21,0.36
20,1.06
19,0.18
18,0.25
17,0.41
16,0.52
15,0.18
14,0.20
13,0.64
12,0.31
11,0.19
10,0.40
9,0.12
8,0.17
7,0.11
6,0.09
5,0.08
4,0.06
3,0.05
2,0.05
1,0.05
0,0.05
80,3.32
79,2.11
78,2.83
77,1.89
76,4.09
75,2.04
74,0.97
73,3.36
72,1.58
71,1.64
70,10.94
69,8.82
68,2.50
67,1.48
66,2.06
65,6.16
64,8.88
63,2.08
62,4.57
61,1.23
60,0.85
59,1.52
58,4.05
57,6.09
56,7.24
55,4.45
54,1.58
53,1.40
52,3.90
51,4.53
50,1.50
49,1.37
48,1.74
47,2.42
46,0.85
45,1.56
44,0.95
43,3.78
42,0.87
41,1.40
40,1.36
39,0.89
38,0.53
37,0.67
36,1.72
35,0.82
34,0.28
33,0.34
32,0.60
31,1.62
30,2.04
29,1.02
28,0.54
27,0.37
26,0.93
25,0.26
24,0.36
23,0.35
22,0.58
21,0.93
20,0.22
19,0.51
18,0.39
17,0.52
16,0.30
15,0.33
14,0.44
13,0.31
12,0.45
11,0.14
10,0.23
9,0.14
8,0.09
7,0.09
6,0.08
5,0.07
4,0.05
3,0.06
2,0.05
1,0.04
0,0.05
80,8.93
79,1.62
78,4.84
77,8.31
76,3.33
75,2.57
74,12.05
73,10.52
72,6.90
71,1.90
70,3.83
69,2.44
68,0.90
67,6.04
66,4.42
65,4.72
64,0.88
63,1.93
62,6.17
61,5.49
60,3.55
59,2.38
58,12.65
57,2.13
56,1.87
55,6.50
54,0.84
53,5.58
52,2.42
51,8.82
50,2.81
49,0.81
48,4.24
47,4.46
46,2.38
45,3.35
44,1.03
43,1.78
42,0.93
41,0.40
40,0.42
39,0.77
38,0.64
37,0.81
36,0.61
35,0.45
34,1.71
33,1.69
32,0.51
31,0.62
30,0.41
29,0.94
28,1.15
27,0.40
26,0.52
25,0.22
24,0.26
23,0.38
22,0.46
21,0.70
20,0.47
19,0.24
18,0.61
17,1.56
16,0.21
15,0.47
14,0.38
13,0.29
12,0.15
11,0.26
10,0.14
9,0.08
8,0.09
7,0.14
6,0.11
5,0.06
4,0.06
3,0.06
2,0.06
1,0.05
0,0.05
80,2.63
79,3.70
78,2.48
77,0.96
76,2.60
75,4.03
74,1.26
73,6.67
72,1.03
71,1.98
70,3.23
69,2.52
68,3.60
67,2.22
66,4.99
65,1.60
64,5.90
63,3.56
62,4.90
61,1.54
60,0.71
59,2.76
58,4.93
57,2.86
56,1.80
55,1.05
54,3.93
53,0.88
52,0.69
51,1.78
